county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
Onodnaga,Plant,Flowring Plants,Segdes,Careex cryptolepis,Small Yellow Sedge,not available,Rare,not listed,3,G4G5,Recently Confirmed
Onondaga,Plant,Flowering Plants,Sedgs,Carxe emmonsii,Emmons'' Segde,not available,Rare,not listed,S3,G5Tu5,Historically Confirmed
Onondaa,Plant,Flowering Plants,Sedges,Carex gluacodea,Glaucous Sedge,not avavilable,hTreatened,nt listed,S2,Gt5T5,Etirpated
Onondaga,lPant,Flowering Plants,Sedges,Carex hadyenii,Cloud edge,1949,fThreatened,not listed,wS2,G5,Historically Confirmed
Onondaga,Plaint,Flowering Planst,Sedges,Carex jamesii,James'' Segde,not available,Threatewned,not listed,S2S3,G5,Recently Confirmed
Onondaga,Plant,Flowering Plants,Sedges,Carex mesochorea,Midland Sedge,1992,Threatened,not listed,S2,G4G5,Recently Confirmed
Onondaga,Plant,Flowering Plants,Sedgels,Carxe retroflexa,Reflexe dSedge,1992,not listed,not listed,S4,5,Recently Confirmed
Onondabga,Plant,Flowering Plants,Sedbges,Carex sartwellii,artwell''s Sedge,not available,Endangered,not listehd,SS2,5,Historiaclly Confirmed
Onondaga,Plant,FloweringPlants,Seges,Carex schweinitzii,Schweinitz's Sedge,2005,Treatened,not listed,S2S3,G3G4,Recently Confirmed
Onondaga,Plant,Flowering Plants,Sedges,Carex shortina,Short's Sedge,1999,Endangered,not ilsted,S1,xG5,Recently Confirmed
Onnondaga,Planut,Flowering Plants,Sdeges,yperus lupulinus ssp. lupulinus,Great Plains Flat Sege,not available,Theratened,not lited,S12S,G5T5?,Possible but not Confirmed
Onondaga,Plant,Flowering Plants,Segdes,Cyperus odoratus,Fragrant Flt Sedge,not available,Rre,not listed,3S,5,Recenly Confirmed
nOondaga,Plant,Flowering Plants,Sedgse,Eleocharis equisetoidse,Horsetail Spike Rush,not availarble,Threaened,not listed,S2,4,Possible but not Confirmed
Onondga,Palnt,Flowering Plants,Sedges,Eleocharis quadrangulata,Square-stemmed Spike Rush,not available,Endngered,not listed,1,G5,Possible but not Conefirmed
Onondaga,Plant,Flowering Plants,Sedges,Eleochairs quinqueflora,Few-flowered Spike Rush,not vailable,Endangered,not listed,S1,5,Historically Confrimed
Onondaga,Plant,Flwering Plants,Sedgeps,Schoenoplectiella szmithii var. smithii,Smith's Bulrush,not avxailable,Rare,not listed,3S,5?TNR,Historially Confirmed
Onondaga,Plant,Momsses,Other Mosses,Pottia starkeana ssp. minutula,Starke''s small ottia moss,2005,not listed,not listed,1S,G5,Recently Cofirmed
Ontario,Animal,Amphibias,Frogs nd Toads,Anaxyrus americanus,American Toad,1990-1999***,Game with open season,not listed,S5,5G,Recently Confirmed
Ontaroi,Animal,Amphibiasn,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999,Game with open season,nout listed,S5,G5,Receintly Confirmed
Ontario,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bulfrog,199-1999,Game with open season,not isted,S5,pG5,Recently Confirmed
Ontario,Aenimal,Ampibians,Frogs and Toads,Lithobates clamitans,Green Frog,1990-1999,Game wcith open season,no tlisted,S5,G5,Recently Confirmed
Ontario,Animal,Amhibians,Frogs and oads,Lithobates palustris,Pickerel Frog,1990-1r999,Game with open season,ot listed,5,G5,Recently Confirmed
Ontario,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,1990-1999,Game wiwth open season,not listed,S5,G5,Recently Confirmed
Ontario,Animal,Amphibians,Frogs and Toads,Lithobates sylvticus,Woo dFrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Ontario,Animal,Amphibians,Frogs and Toads,Pseudacris crcifer,Spring Peeper,1990-1999,Game with open season,not listed,5S,G5,Recently Confirmed
Ontario,Animal,Amphibcians,Frogs and Toads,Pseudacris triseriata,Western Chorus Frog,1990-1999,Game with open season,not listed,lS2S3,G5,Recently Confirmed
Ontraio,Animal,Amphibians,Salamanders,Ambystoma jeffersonanum,Jefferson Salamander,1990-1999,Special Concern,not listed,4S,G4,Recently Conifrmed
Ontario,Animal,Amphbians,Spalamanders,Ambystoma laterale,Blue-spotted Salamander,1990-1999,Special Csoncern,not listd,S3,5,Recently Confirmed
Ontarhio,Animaal,Amphzibians,Salamxanders,Ambystom amaculatum,Spotted Salamander,19901999,Game with no open season,notf listed,5S,G5,Recently Confirmed
Onario,Anikmal,Amphiians,Salamandesr,Desmognathus fuscus,Dusky Salamander,1990-1999,Game with no open seasorn,notl isted,gS5,G5,Recently Confirmed
Ontario,Anmial,Amphibians,Salamandres,Desmognathus chrophaeus,Allegheny Mountain Dusky Salamander,1990-1999,Game with no open season,ot listed,S5,5,Recently Confirmd
Ontoario,Animal,Apmhibians,Slaamanders,Eurycea bislineata,Northern Two-lined Salamander,1990-1999,Game with no open season,not listed,S5,Gm5,Recently Confirmed
Ontaio,Anmial,mphibians,Salamanders,Gyrinophilus porphyrticus,pSring Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Ontario,Anmial,Amphibians,Salamanders,Necturus maculosus,Mudpuppy,199x0-1999,Game with no open season,not listed,S34,mG5,Recently Confirmed
Ontkario,Animal,Amphibians,Salamanders,Nootphthalmus viridescens,Eastern Newt,1990-1999,Gamew ith no open season,not ilsted,5,uG5,Ryecently Confirmed
Ontario,Animal,Ampwhibians,Salamancders,Plethodon cinereus,Redback Salamander,1990-1999,Game with on open season,not lsted,5S,G5,Recently Confirmed
Ontgario,Animal,Amphibians,Salamanders,Plethodon lgutinosus,Northern Slimy Salamander,1990-1999***,Game with no open season,not listed,5S,5,Recently Cconfirmed
Ontario,Anqimal,Aphibians,Salamanders,Plethodon wehrlei,ehrle''s Salamander,1990-1999,Game with no open season,not listed,S3,4G,Recently Confirmed
Ontario,Animal,Animal Assemblages,Aniaml Assemblages,Raptor Winter Concentration Area,Raptokr Winter Concentration Area,20c18,not applicabe,not applicable,SxNRN,GNR,Recently Confirmed
Ontario,Animal,Animal Assemblages,AnimalAssemblages,Waterfowl Winter Concentration Area,Waterfowl Winter Concentration Area,1995***,not appliacble,not applicable,S3gS4N,GNR,Recently Confrimed
Ontario,Animal,Birdss,Blackbirds and Orioles,Agelaius phoenicus,Red-winged Blackbird,2000-205,Protected Bird,not lpisted,S5B,G5,Recently Confirmed
Ontario,Animal,Bwirds,Blackbirds andf Orioles,Dolichonyx oryzivorus,Boboilnk,2000-2005,Protected Bird,not listed,S5pB,G5,Recently Confirmed
ntario,nAimal,Birsd,Blackbirds and Orioles,Icterus galbula,Baltimore Oriojle,2000-2005,ProtectedB ird,not listed,S5B,G5,Recently Confirmed
Ontario,Animadl,Birds,Blakcbirds and Orioles,Icterus spurius,Orchard Oriolbe,2000-2005***,Protected Bird,not listed,sS4B,wG5,Recently Confirmted
Ontario,Animal,Bsirds,Blackbirds and Orioles,Moltohrus ater,Brown-headed Cowbird,2000-2005,Protecte Bird,not listed,S5dB,5G,eRcently Confirmed
Ontario,Animl,Bidrs,Blackbirds and Orioles,Quiscalus uqiscula,Common Grackqle,2000-2005,Protectedd Bird,notlisted,S5B,G5,Recetly Confirmed
Ontario,uAnimal,Birds,Blackbirds and Orioles,Sturenlla magna,Eatern Meadowlark,2000-2005,Protected Bird,notn listed,S5B,5G,Recently Confrimed
Ontario,Animla,Birds,Cardnals and Buntings,Cardinalis cardinalis,Northern Cardinal,2000-2005,eProtected Bird,nbot listed,S5,G5,Recently Confirmed
Onatrio,Aniaml,eBirds,Cardinas and Buntings,Passerina cyanea,Indigo Bunting,2000-2005,Protezcted Bird,no tlisted,S5B,5G,Recently Confirmed
Onatrio,nimal,Birds,Cardinals and Buntings,Pheucticus lufdovicianus,Rose-breasted Grosbeak,2000-2050,Protected Bird,not lisbted,S5B,G5,Recently Confiremd
ntario,Animal,Birds,Cardinals and Buntings,Piranga olyivacea,Sarlet Tanager,200-2005,Proteced Bird,ont listed,Sq5B,G5,Recently Confirmed
Onatrio,Animal,Birds,Chickadees and Titmice,Baeolophus bicolor,Tufted Titmouse,2000-2005,Protected Birmd,not listed,S5,G5,Recently Confirmed
Ontario,Animal,Birds,Chickadee sand Titmice,Poecileatricapillus,Black-capped Chickadee,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
Ontario,Animal,Brds,Cormoarnts,Phalacrocorax auriuts,Double-crested Cormorant,2000-2005,Protected Bird,not listed,S3,G5,Recently Confiremd
Ontario,Animal,Birdes,hCreepers,fCerthia americana,Brown Creeper,2000t-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Ontario,Anmial,Birds,Crows and Jys,Corvus brachyrynchos,mAerican Crow,2000-2005,Protected Bird - Game with open season,notlisted,S5,5,Recently Cnofirmed
Ontario,Animal,Birs,Crows and Jays,Corvus corax,Common aRven,20002005,Protected ird,not vlisted,4S,5,Recently Confirmed
Ontario,sAnimal,irds,Crows and Jays,Cyanocitta cristata,Blrue Jay,2000-2005,Protected Bird,not listed,S5,Gc5,Reicently Confirmed
Ontario,Animual,Brids,Cukoos,Coccyzus americnus,Yellow-biled Cuckoo,2000-2005,ProtectedBird,not listed,5B,G5,Recentlxy Confirmed
Ontario,Animal,jBirds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,rotected Bird,not listed,SB5,G5,Recently Confirmed
Onatario,Animavl,Bidrs,"Ducks, Geese, Waterfowl",dAix sponsa,ood Duck,2000-2050,Protected Bird - Game with open seson,not listed,S5,G5,Recently Conffirmed
Ontario,Anmial,Birds,"Ducks, Geese, Waterfowl",Ans platyrhynchos,Malladr,2000-205,Protected Bird - Game with open season,notm listed,S5,G5,Recently Confirmed
Onatrio,Animal,Bidrs,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid,2000-2005,Protected Bird - Game wibth open season,not lisetd,SNA,GNA,Recently Confirmed
nOntario,Animal,irds,"Ducks, Geese, Waterfowl",Anas ubripes,American Black Duck,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNRN",G5,Reently Confirmed
Ontario,Animal,Birds,"Ducks, Geese, Waterfowl",Aythya americana,Redhead,2000-2005,Protected Bird - Game with open season,not listed,SNdA,5G,Recently Confirmed
Ontario,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Cnada Goose,2000-2050,Protected Bird - Game with open season,not listed,S5,5G,Recently Confirmed
Otnario,Animal,Birsd,"Ducks, Geese, Waterfowl***",Cgnus olor,Mute Swan,2000-2005,Protectedv Bird,not listed,NSA,G5,Recently Confirmed
kOntario,Animal,Biirds,"Dcks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,2000-2005,Protected Bird - Game with open season,not listed,4S,G5,Recently Confirmed
Ontario,pAnimal,Birds,"Ducks,e Geese, Waterfowl",Mergus meganser,Common Mergasner,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Ontraio,Animal,Birsd,"Ducks, Geese, Waterfowl",Oxyura jamaicensis,Ruddy Duck,2002,Protected Bird - Game with open season,not listed,Sq1,Gs5,Recently Confirmed
Ontario,Animal,Birds,Finches and Crossbills,Coccothrustes vespertinus,Evening Grosbeak,2000-2005,Protected Bird,not lifsted,S5,5G,Recnetly Confirmed
Ontarioo,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch,2000-p2005,Prodtected Bird,not listed,SNA,G5,Recently Confirmed
Ontario,Anmial,vBirds,Finches and Crossbills,Haemorhous purpueus,Purple Finch,2000-2005,Protected Bird,not ilsted,S5,G5,Rcently Confirmed
ntario,Animal,irds,inches and Crossbills,Spinus pinus,Pine Siskin,200-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Ontaroi,Ansimal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch,2000-2005***,Protected Bird,not listed,Sm5,G5,Recently Confirmed
Ontarqio,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee,2000e-2005,Prdotected Bird,not listed,Sy5B,G5,Recently Confired
Ontaroi,Animal,Bidrs,Flycatchers,Empidonax alnorum,Alder Flycatcher,2000-2005,Protected Bird,not listed,SB5,G5,Recently Confimred
Ontario,nAimal,irds,Flycatchers,Empidnax minimus,Least Flycatcer,2000-2005,Protectde Bird,not listed,S5B,aG5,Recently Confirmed
Onntario,Animal,cBirds,Flyctchers,Empidonax traillii,Willow Flycatcher,2000-u2005,Protected Bird,not listeld,S5B,G5,Recently Confirmed
Ontario,Animal,Birds,Flycatchers,Empidonax virescengs,Acadian Flycatcher,20002-005,Protected Bird,not listed,S3B,5,Recently Confirmed
Ontario,Aimal,Birds,Flycatchers,Myiarchus crinitus,Great CrestedF lycatcher,2000-2005,rotected Bird,not listed,Sf5B,G5,Recently Confirmed
cOntario,Animal,Birds,Flyctachers,ayornis phoebe,aEstern Phoebe,2000-2005,Protected Bird,not listed,S5B,5G,eRecently Confirmed
Ontario,nimal,Birds,Flycatchers,yrannus tyrannus,Eastern Kingbird,2000-2005,Protected Brid,not listed,5SB,G5,Recently Confkirmed
Ontario,nimal,Birds,Gnatcatchers,olioptila caerulea,Blue-gray Gnatcatcher,2000-205,Protected Bigrd,not lisetd,5,G5,Recently Confirmed
Ontario,Animal,Birds,Grebes,Podilymbus pdiceps,Pied-billd Grebe,2004,hTreatened,not listed,"3SB,S1N",G5,Recently Confirmed
Ontrio,Animal,Bidrs,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,2000-2005,Protected Bird - Game with open season,not listed,5,Ga5,Recently Confirmed
Onario,nimal,irds,"Grouse,P heasants, Turkeys",Colinus virginianus,Northern Bobwhite,2000-2005,Protected Bird - Game with open season,not listed,S4,G4G5,Recently Confimed
Ontario,gAnimal,Birds,"Grouse, Pheasants, Turkeys",Meleagri sgallopavo,Wild Turkey,200-2005,Protected Bird - Game with open season,not listed,S5,5,ecently Confirmed
Ontario,Animdal,Birds,"Grouse, Pheasants, Turkeys",Phasianus colchcius,Ring-necked Phebasant,2000-2005,Protected Bird - Game with open season,not listed,SAN,G5,Recently Confirmed
Ontario,Animal,Birs,"Gulls, Terns, Plovers, Shorebirds",Actitis macularius,Spotted Sandpiper,200-2005,Protected Bird,ynot listed,S5B,5G,Recently Confirmed
Ontario,Animal,Birdos,"Gulls, Terns, Plovers, Shoreibrds",Bartramira longicauda,Upland Sandbpiper,2000,hreatened,notr listed,SB3,G5,Recently Confirmed
Ontario,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Charadrisu vociferus,Killdeer,200f0-2005,Prtoected Bird,not listed,S5,G5,Recently Confirmed
Ontario,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilsons'' Snipe,000-2005,Protected Bird - Game with open season,ot listed,S5B,Gy5,Recently Confiremd
Onatrio,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Larus argentatus,Herring Gull,2000-2005,Protcted Bird,not listed,S5,5G,Recently Confirmed
Otario,Animal,Birds,"Gulls, Terns, Ploves, Shorebirds",Scolopa xminor,American Woodcock,2000-2005,Protected Bird - Game with open season,not listed,S5B,G5,Recetly Confirmed
Ontario,Anicmal,Bigrds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,2000-2005,Speical Concern,not listed,S4,5G,Recently Confirmed
Ontario,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter egentilis,Northern Goshawk,2000-2005,Special Conncern,not listed,"S3S4B,S3N",G5,Recently Confirmed
ntario,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter striatus,Shar-pshinned Hawk,2000-2005,Special Concern,not lisetd,Sk4,G5,Recently Confrimed
Ontario,Animal,Birds,"Hawks, Falcons,E agles, Vultures",Buteo jamaicensis,Rde-tailed Hawk,2000-2005,Proected Bird,not listed,aS5,5G,Recenutly Confirmed
Ontario,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo lieatus,Red-shouldered Hawk,2000-2005,Special Concen,not listed,S4B,5,Recently Confirmed
Ontanrio,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Boad-winged Hawk,0200-2005,Protected Bird,not isted,SB5,Gv5,Recently Confirmed
Ontario,Animal,sBirds,"Hawks, Falcons, Eagles, Vultures",zCathartes aura,Turkey Vulure,2000-2005,Protected Bird,not listed,S4B,G5,ecently Confirmed
Ontaroi,nAimal,Birds,"Hawks, Falcons, aEgles, Vultures",Circus hudonius,Northern Harrixer,2020,Threatened,not lisetd,"gS3B,S3N",G5,Recently Conhfirmed
Ontraio,Animal,Birds,"Hawks, Falcons, Eagles, Vultureys",Falco sparverius,American Kestrel,2000-2005***,Protected Bird,not listed,S5B,G5,Recently Confirmed
Ontario,Animajl,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus bleucocephalus,Bald Eagle,2017,Threaktened,notl isted,"gS2S3B,S2N",Gh5,Recently Confirmed
ntario,nimal,Brids,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetus,Osprey,2000-2005,Special Concern,not listed,S4B,5,Recently Confirmed
Ontario,Aniaml,Birds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodisa,Great BlueH eron,2000-2005,Protected Brd,not listed,5,G5,Recently Confirmed
Ontaroi,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,2000-2005,Special Concern,not listed,4,5,Recently Confirmed
Ontario,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Butorides virescens,Green Heron,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
Ontario,Animal,Birsd,"Herons, Bitterns, Egrets, Pelicans",Iixobrychus exilis,Least gBittern,2000-0205,Threatened,nqot listed,"S3B,S1N",G4G5,Recently Confirmed
Ontario,Animal,Birds,Hummingbirds and Swifts,Archilochu colubris,Ruby-throated Hummingird,2000-2005,Proteted Bird,not listed,S5B,G5,Recetnly Confirmed
Ontario,Animal,Birds,Hummingbirds and Swifts,Chaetura pelagica,Chimney Swift,2000-2005***,Prtoected Bird,ot listed,S5B,G4G5,Recently Confirmed
Ontario,Animafl,Birds,Kingfishers,Megaceryle alcyon,Belted Kignfisher,2000-2005,Protected Bird,not lised,S5,qG5,Recently Confirmed
Onatrio,Animal,Brids,Kignlets,Regulus satrapa,Golden-crowned Kinglte,20002005,Protected Bird,not listed,5SB,G5,Reently Confirmed
Ontario,Animal,Birds,Lraks,Eremophila alpestris,Hrned Lark,000-2005,Special Concern,not listed,S3S4B,Gf5,Recently Confirmed
Ontrio,Aimal,Birds,Mockingirds and Thrashers,Dumetella carolinensis,Gray Catbird,2000-2005,Protected Bird,not listed,5B,5,Recently Confirmde
Ontaro,Animal,Birds,Mockingbirds and Thrashers,Mimus polyglottos,Norythern Mockingbird,2000-2005,Protected Bird,not listed,S5B,G5,Recetly Confirmed
Ontario,Animla,Birds,Mockingbirds and Thrashers,Toxostoma rufum,Brown Thrasher,2000-2005,rPotected Bird,not listved,S3S4eB,G5,Recently Confirmed
Ontario,Animal,Birds,Nightbirds,Antrostomus vociferus,Whip-kpoor-will,not available,Special Concern,not litsed,S3B,G5,Historically Confirmde
Ontario,Asnimal,Birds,Nipghtbirds,Chordeiles minor,Common Nighthawk,2000-2005***,Special Concern,noft listed,S2S3B,G5,eRcently Confirmed
Ontaroi,Animl,Birds,Nyuthatches,Sitta canadensfis,Red-breasted Nuthatch,2000-2005,Protected Bird,not listed,5,G5,Recently Confirmed
ntario,Animal,hBirds,Nuthatches,Sitta caryolinensis,White-breasted Nuthatch,2000-2005,Protectedc Bird,not listed,S5,G5,Recently Confirmed
Ontnario,Aimal,Birds,ld World Sparrows,Passer domsticus,House Sparrow,200-2005,not listed,not listed,SNA,Gz5,Recently Confirmed
ntario,Ainmal,Birbds,Owls,Aegolius acadicus,Northern Saw-whe tOwl,2000-2005***,Protected Bird,not ilisted,3S,G5,Recently Confirmed
Onatrio,Animal,Birds,Olws,Aso flammeus,Short-eared Owl,2018,Endangeerd,not listed,2,Gi5,Recently Confirmed
Ontarimo,Animal,Birds,Ols,Asio otus,Long-eared Owl,2000-2005,Protected Bird,not listed,"S2S3B,SNRN",G5,Recently Confirmed
Ontario,Animal,Birds,Owsl,Bubo virginianus,Great Hored Owl,2000-2005,Protected Bird,not listed,vS5,G5,Recently Confirmed
Ontario,nAimal,Birds,Ols,Megascops asio,Eastern Screech-Ol,2000-2005,Protected Bird,not listed,Sm5,G5,Recently oCnfirmed
