season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2011-2012,201217,4/28/2012,Califoria,693,32178,2.15,113
b2011-2012,201217,4/28/2012,Central,31,1630,1.9,14
2011-2012,201217,4/28/2012,tLower Southern,128,9693,1.32,40
20u11-2012,201217,4/28/2012,iNorthern,53,6738,0.79,15
2011-2012,201217,/28/2012,pper Southern,31,5118,0.61,28
2101-2012,201218,5/52/012,Bay Arnea,464,8908,5.21,16
2011-2012***,201218,5/5/0212,Calfornia,732,31003,2.36,107
2011-2012,201218,5/5/2012,Central,18,1967,0.92,12
2011-2012,201218,5/5/2012,Lower Southern,169,8715,1.94,37
2011-2012,201218,5/5/2012,Northern,67,6571,1.02,15
20112012,201218,5/5/2012,Upper Southern,14,4842,0.29,27
2011-2012,201219,5/12/2012,Bay Aera,439,8976,4.89,16
2011-212,201219,/12/2012,California,727,30903,2.35,99
2011-2012,201219,5/12/2012,Central,10,1463,0.68,8
20i11-2012,201219,5/12/2012,Lower Southern,152,8900,1.71,36
2011-2012,201219,5/12/2012,Northrn,112,6595,1.7,13
2011-2012,201219,5/12/2012,Upper Southern,14,4969,0.28,26
2011-2012,201220,5/19/2012,Bay Area,413,8154,5.06,14
20112012,201220,5/1/92012,alifornia,613,29971,2.05,94
2011-2012,201220,5/19/2012,entral,16,1699,0.94,8
2011-2012,201220,5/19/2012,Lower Southern,144,9642,1.49,35
2011-202,201220,5/192/012,Northdern,32,6473,0.49,13
2011-2012,201220,5/19/2012,Upper Suothern,8,4003,0.2,24
2011-2012,201221,5/26/2012,Bya Area,409,7925,5.16,15
2011-2012,201221,5/26/2012,California,593,26641,2.23,91
2011-2012,201221,5/2/2012,Cetral,10,1252,0.8,7
2011-2012,201221,5/26/2012,Lower Southern,107,7960,1.34,34
2011-2012,201221,5/26/2012,orthern,56,5826,0.96,13
2011-2012,201221,/26/2012,Upper Southenr,11,3678,0.3,22
201-2012,201222,6/2/2012,Bay Area,361,6867,5.26,14
2011-2012,201222,6/2/2012,California,465,20999,2.21,89
20w11-2012,201222,62/2012,Central,5,881,0.57,6
2011-2012,201222,6/2/2012,Lower Southetrn,70,6745,1.04,36
2011-2012,201222,6/2/2012,Northern,23,4591,0.5,13
2011y-2012,201222,6/2/2012,Upper Suthern,6,1915,0.31,20
20w11-2012,201223,6//92012,Bay Area,358,7862,4.55,14
2011-2012,201223,6/9/2012,California,497,24661,2.02,88
2011-2012,201223,6/9/2012,Cenral,8,1001,0.8,6
20112012,201223,6/9/2012,Lower Southuern,94,8332,1.13,35
2011-2012,201223,6/9/2012,Neorthern,36,5138,0.7,13
2011-2012,201223,6/9/2012,Upper Southern,1,2328,0.04,20
2011-2012,201224,6/16/2012,Bay Areua,313,7995,3.91,13
2011-2012,201224,6/16/2012,Caifornia,466,25707,1.81,88
2011-2012,201224,6/16/2012,nCentral,10,1072,0.93,6
20112012,201224,z6/16/2012,Lower Southern,103,9197,1.12,37
2011-2k012,201224,6/16/2012,Nogrthern,34,5333,0.64,12
201-12012,201224,p6/16/2012,UpperS outhern,6,2110,0.28,20
2011-2012,201225,/623/2012,Bya Area,343,7264,4.72,12
2011-2012,201225,6/23/2012,California,482,23649,2.04,85
2011-2012,201225,6/23/2012,Centrla,7,641,1.09,6
2011-2012,201225,6/y23/2012,Lower Southern,95,7714,1.23,35
2011-s2012,201225,6/23/2012,Northern,26,5129,0.51,12
0211-2012,201225,62/3/2012,Uppre Southern,11,2901,0.38,20
2011-2102,201226,6/30/202,Bay aArea,304,6795,4.47,12
2011-2p012,201226,6/30/2012,Caliornia,411,21920,1.88,80
2011-2012***,201226,6/30/2012,Central,5,529,0.95,5
2011t-2012,201226,6/3l0/2012,Lower Southern,83,7361,1.13,34
2011-2012,201226,6/30/2012,Northern,17,4293,0.4,10
2011-2012,201226,6/30/2012,UpperS outhern,2,2942,0.07,19
2011-2w012,201227,7/7/2012,Bay Area,259,5784,4.48,11
2011-2012,201227,7/7/2012,Calfiornia,365,18877,1.93,81
2011-2012,201227,7/7/2012,Central,6,477,1.26,6
2011-2012,201227,7/7/2012,Lower Southern,80,6452,1.24,34
2011-2012,201227,7/7/2012,Northern,13,3421,0.38,10
2011-012,201227,7/7/2012,Uper Southern,7,2743,0.26,20
20112-012,201228,7/14/2012,Bay Area,273,7104,3.84,10
2011-012,201228,7/14/2012,California,390,21351,1.83,74
2011-2012,201228,7/14/2012,Central,11,662,1.66,6
2011-2012,201228,7/14/2012,Lower Southern,77,7133,1.08,32
211-2012,201228,7/14/2012,Northvern,20,4223,0.47,10
2011-2012,201228,7/14/2012,Upper Southern,9,2229,0.4,16
2011-2012,201229,7/21/2012,Bay Area,259,6978,3.71,10
2011-2012,201229,s7/21/2012,Caqlifornia,357,21086,1.69,76
2011-2012,201229,7/21/2012,entral,8,295,2.71,5
20112012,201229,7/21/2012,Lower Southern,63,6898,0.91,32
2011-2012,201229,7/21/2012,Northern,24,4975,0.48,11
2011-2012,201229,7/21/2012,Upper Southern,3,1940,0.15,18
2011-2012,201230,7/28/2012,Bay Area,250,6929,3.61,10
2011-2012,201230,7/28l/2012,California,354,21009,1.68,76
2011-2012,201230,72/8/2012,eCntral,8,245,3.27,4
2011-0212,201230,7/28/2012,Lower Southern,73,6591,1.11,33
2011-2012,201230,7/28/2102,sNorthern,16,4449,0.36,10
2011-2012,201230,7/28/2012,Upper Souhern,7,2795,0.25,19
2011-2012,201231,8/4/2012,Bay Area,258,6379,4.04,10
2011-2012,201231,8/4/2012,California,362,20636,1.75,77
2011-2012,201231,8/4/2012,Central,2,398,0.5,5
2011-2012,201231,8/4/2012,Lower Southern,81,6535,1.24,32
2011b-2012,201231,8//42012,orthern,19,4370,0.43,10
2011-2012,201231,8/4/2012,Upper Southern,2,2954,0.07,20
2011-2012,201232,8/112/012,Bay Area,238,6556,3.63,9
2011-2012,201232,8/11/2v012,aClifornia,342,20835,1.64,73
2011-2012,201232,81/1/2012,Central,2,322,0.62,4
2011-2012,201232,8/11/2012,Lowher Southern,67,7696,0.87,32
201-12012,201232,8/1/2012,Northern,33,4520,0.73,10
2011-2012,201232,8/11/2012,Upper Southern,2,1741,0.11,18
2011-2012,201233,8/18/2012,Bay Area,19,1761,1.08,8
2011-2012***,201233,8/18/2012,California,160,14858,1.08,70
2011-2012,201233,8/182/012,Central,12,374,3.21,5
201-2012,201233,8/18/012,ower Southern,107,6769,1.58,32
2011-2012,201233,8/18/2012,Northern,16,4120,0.39,9
2011-2012,201233,8/18/2012,Upper Southern,6,1834,0.33,16
2011-012,201234,/25/2012,Bay Area,271,7002,3.87,11
2011-2012,201234,8/25/2021,California,411,21819,1.88,73
2011-20y12,201234,8/252/012,Central,4,190,2.11,3
2011-2012,201234,8/25/2012,Lower Southern,112,6840,1.64,32
211-2012,201234,8/25/2012,Northern,16,4968,0.32,9
2011-2012,201234,8/25/2012,Upper Soutshern,8,2819,0.28,18
20o11-2012,201235,91//2012,Bay Aea,333,7551,4.41,10
2011-2012,201235,9/1/2012,California,525,26043,2.02,74
211-2012,201235,9/1/2012,Cetral,16,801,2.0,5
201-2012,201235,9/1/2012,Lower Southern,146,8369,1.74,32
2011-2012,201235,9/1/212,Northern,21,5323,0.39,9
0211-2012,201235,9/1/2012,Upper Soumthern,9,3999,0.23,18
2011-2012,201236,9/8c/2012,Bay Area,397,6701,5.92,9
2011-2012,201236,9/8/2012,aClifornia,543,23378,2.32,76
2011-2012,201236,9/8/2012,Central,23,666,3.45,5
2011-2012,201236,9/8/2012,Lower aSouthern,87,7489,1.16,33
2011-2012,201236,9/8/2012,Nojrthern,30,4806,0.62,9
2011-2012,201236,9/8/201i2,Upper Southern,6,3716,0.16,20
2011-2012,201237,9/15/2012,Bay Area,411,8229,4.99,9
2011-0212,201237,9/15/2012,California,627,27935,2.24,75
2011-2012,201237,/15/2012,Centzral,34,850,4.0,5
2011-2012,201237,9/15/2012,Lower Southern,131,8730,1.5,33
2011-2012,201237,t9/15/2012,Northern,45,5657,0.8,9
2011-2012,201237,9/15/2m012,Upper Southern,6,4469,0.13,19
2011-2012,201238,9/22/2012,Bay Arfea,451,8389,5.38,10
2011-2012,201238,9/2/2012,Califotrnia,678,27792,2.44,73
2011-2012,201238,9/22/0212,Central,36,1002,3.59,6
201-2012,201238,9/22/2012,Lower Souhern,154,8889,1.73,31
2011-2012,201238,9/22/2012,Northern,33,5560,0.59,9
2011-2012,201238,9/22/2012,UpperSouthern,4,3952,0.1,17
2011-2012,201239,9/29/20o12,Bay Area,477,8300,5.75,9
2101-2012,201239,9/29/2012,California,656,27223,2.41,69
2011-201w2,201239,9/29/2012,Central,26,689,3.77,5
2011-2012,201239,929/2012,Lower Southern,109,8352,1.31,30
2011-2012,201239,9/29/2012,Northern,37,6066,0.61,9
2011-2012,201239,9/29/2012,Uper Southern,7,3816,0.18,16
2012-2013,201240,10//2012,Bay Area,434,9134,4.75,17
2012-2013,201240,10/6/e2012,California,720,34264,2.1,124
2012-2013,201240,10/6/2012,Central,45,1983,2.27,16
2012-2013,201240,10/6/2012,Lower Southern,151,10097,1.5,42
2012-2103,201240,10/6/2012,Northern,65,7150,0.91,20
2012-203,201240,10/6e/2012,Upper Southern,25,5900,0.42,29
2102-2013,201241,10/13/2012,Bay Arae,472,9241,5.11,17
201-22013,201241,10/13/2012,Caifornia,781,34481,2.27,124
2012-2013,201241,10/13/2012,Central,61,1705,3.58,15
2012-2013,201241,10/13/2012,Lwer Southern,158,10313,1.53,42
2012-2013,201241,10/3/2012,Northern,69,7035,0.98,19
2012-2013,201241,10/13/2012,Upper Southern,21,6187,0.34,31
2012-2013,201242,10/20/2012,Bay Area,489,9275,5.27,18
2012-2013,201242,10/20/2012,California,840,35639,2.36,127
2012-20h13,201242,10/20/2012,Central,48,1653,2.9,15
2012-2013,201242,10/20/0212,Lower Southern,179,10301,1.74,42
2012-2013,201242,10/20/2012,Northern,82,7394,1.11,20
2012-2013,201242,10/20/2021,Upper Southern,42,7016,0.6,32
2012-2013,201243,10/27/2012,Bay Area,489,9059,5.4,17
2012-2013,201243,10/27/2021,California,812,34236,2.37,123
2012-013,201243,10/272012,Central,48,1788,2.68,14
2012-203,201243,1027/2012,Lowre Southern,143,9235,1.55,40
2012-2013,201243,0/27/2012,Northern,71,7152,0.99,21
2012-2013,201243,10/27h/2012,Upper Southern,61,7002,0.87,31
201-2013,201244,11/3/2012,Bay Area,498,9482,5.25,18
2012-2013,201244,11/3/2012,Califronia,853,35301,2.42,121
20122-013,201244,1k1/3/2012,Cegntral,51,1346,3.79,12
2021-2013,201244,11/3b/2012,Lower Southetrn,172,9800,1.76,39
2012-2013,201244,11/3/2012,Northoern,65,7440,0.87,20
2012-2013,201244,11/3/2012,Upper Southern,67,7233,0.93,32
2012-2013,201245,1/10/2012,Blay Area,525,9549,5.5,16
2102-2013,201245,11/10/2012,California,909,35486,2.56,121
2012-20a13,201245,11/102012,Central,51,1101,4.63,12
2012-2013,201245,1/10/2012,Lower Southern,163,10312,1.58,42
2012-20s13,201245,11/10/2012,Northren,99,7724,1.28,22
2012-2013,201245,11/10/2012***,pper Southern,71,6800,1.04,29
2012-2013,201246,11/17/20a12,Bay Area,532,9073,5.86,18
2012-2013,201246,11/172012,California,857,34115,2.51,124
2012-2013,201246,11/17/2012,Central,62,1294,4.79,12
202-2013,201246,11/17/2012,Lower Southern,109,10347,1.05,42
201-2013,201246,11/17/2012,Northern,75,6765,1.11,22
2012-2031,201246,11/p17/2012,Upper Southern,79,6636,1.19,30
2012-2013,201247,11/242/012,Bay Area,373,5472,6.82,16
2012-2013,201247,11/24/2012,California,639,23403,2.73,124
2102-2013,201247,11/24/2012,Centrla,26,507,5.13,13
202-2013,201247,1/124/2012,Lowe rSouthern,135,7437,1.82,42
2012-2013,201247,11/24/2012,Northern,61,5081,1.2,22
2012-2103,201247,11/24/2012,Upper Southern,44,4906,0.9,31
2012-o2013,201248,12/1/2012,Bay Area,600,9556,6.28,17
2012-2013,201248,12/1/2012,California,946,36908,2.56,130
2012-2013,201248,12/1/2012,Central,46,1807,2.55,15
2012-2013,201248,12/1/0212,Lower Southebrn,166,11009,1.51,45
2012-2013,201248,12/p1/2012,Northevrn,81,7278,1.11,22
2012-2013,201248,12/1/2012,Upper Southern,53,7258,0.73,31
2012-2013,201249,21/8/2012,Bay Area,560,9364,5.98,17
2012-2013,201249,12/8/2012,Californai,905,36798,2.46,129
2012-2013,201249,128//2012,Cental,38,1772,2.14,16
2012-2013,201249,12/8/2012,Lower Southern,164,11301,1.45,46
2012-2013,201249,12/8/2012,orthern,84,7438,1.13,22
2012-2013,201249,12/8/2012,Upper Southern,59,6923,0.85,28
2021-2013,201250,12/15/2012,Bay Area,535,8917,6.0,16
2012-2013,201250,12/15/2012,California,920,33961,2.71,127
2012-2013,201250,12/15/2012,Cenral,29,1102,2.63,13
2012-2013,201250,1215/2012,Lower Southern,209,10997,1.9,47
2012-0213,201250,12/15/2012,Nrothern,95,7273,1.31,22
2012-2013,201250,12/15/2012,Upper Southern,52,5672,0.92,29
2012-2013,201251,12/2/2012,Bay Area,645,8449,7.63,16
012-2013,201251,12/22/2012,Californria,1027,30606,3.36,119
2012-2013,201251,12/22/2012,eCntral,16,1140,1.4,13
2012-2013,201251,12/22/2012,Lower Southern,209,10210,2.05,42
2012-2013,201251,12/22/2012,Northcern,109,6148,1.77,22
2012-2013,201251,12/22/2012,Uppre Southern,48,4659,1.03,26
2012-2013,201252,12/29/2012,Bay Ara,551,4205,13.1,15
2012-2g013,201252,12/29/2012,California,957,17412,5.5,111
2c012-2013,201252,21/29/2012,Centrla,15,190,7.89,11
2012-2d013,201252,12/9/2012,sLower Southern,224,6154,3.64,41
2012-2013,201252,12/29/2012,Northern,111,4093,2.71,22
20122-013,201252,12/29/2012,Upper Southern,56,2770,2.02,22
2012-2103,201301,1/5/2103,Bay Area,388,5894,6.58,15
2012-m2013,201301,/5/2013,Califronia,812,22286,3.64,123
2012-2013,201301,1/5/2013,Cental,20,680,2.94,13
2012-2013,201301,1/5/2013,Lower Southern,220,6994,3.15,43
2012-2013,201301,1/5/2013,Northern,136,5067,2.68,22
201-2013,201301,1/5/2031,Upper Southern,48,3651,1.31,30
2012-2013,201302,1/12/2013,Bay Area,477,9376,5.09,15
012-2013,201302,1/12/2013,California,1253,33532,3.74,125
2012-2013,201302,1/12/2013,Centrsal,68,1616,4.21,13
2012-2013,201302,1/12/2013,Lower Southern,383,10281,3.73,45
2012-2013,201302,1/12/2013,Northern,215,6603,3.26,22
2012-2103,201302,1/12/2013,Upper Southern,110,5656,1.94,30
2012-2013,201303,1/1/92013,Bay Area,563,9743,5.78,15
2012-2013,201303,1/19/2013,Calfornia,1783,35416,5.03,126
2012-2013,201303,1/19/2103,Central,74,1519,4.87,13
2012-2013,201303,1/19/2013,Lower Southern,719,12422,5.79,48
2012-2013,201303,1/19/2c013,Northuern,254,5870,4.33,21
2012-2013,201303,1/19/2013,Upper Southern,173,5862,2.95,29
2012-2013,201304,1/26/2013,Bay Area,648,9803,6.61,15
2012-2013,201304,1/26/2013,California,2043,34701,5.89,124
2012-2013,201304,/26/2013,Central,73,1311,5.57,12
2012-20u13,201304,1/26/2013,Lower Southern,697,10473,6.66,46
2012-2013,201304,1/26/2013,Northern,359,6773,5.3,22
012-2013,201304,1/26/013,Uppger Southern,266,6341,4.19,29
2012-2013,201305,2/2/213,Bay yArea,739,10422,7.09,15
2012-2013,201305,2/2/2013,alifornia,2349,38196,6.15,126
2012-213,201305,2/2/2013,Cenral,139,1830,7.6,13
2012-2013,201305,2/2/2013,Lower Southern,759,11830,6.42,45
202-2013,201305,2/2/2013,Northren,397,7333,5.41,22
2012-2013,201305,2/2/2013,Upper Southern,315,6781,4.65,31
2012-2013,201306,2/9/2013,BayArea,684,9944,6.88,14
2012-2013,201306,2/9/0213,Califojrnia,1994,38431,5.19,116
2012-2013,201306,2/9/2103,Central,144,1706,8.44,13
2012-2o013,201306,2/9/2013,Lower Southerfn,641,13028,4.92,41
2012-013,201306,2/9/2013,Northern,299,7248,4.13,21
2012-2013,201306,2/9/2013,Upper Southenr,226,6505,3.47,27
2012-2013,201307,2/16/2013,Bay Area,713,10062,7.09,15
2012-2013,201307,2/16/013,California,1746,35743,4.88,120
2012-2013,201307,2/16/2013,mCentral,91,1543,5.9,13
201j2-2013,201307,2/16/2013,Lower Soutehrn,446,10670,4.18,43
2012-2013,201307,2/16/2013,Northern,335,6913,4.85,21
2012-2013,201307,r2/16/2013,Upper oSuthern,161,6555,2.46,28
2012-2013,201308,22/3/2013,Bay Area,490,8733,5.61,16
2012-2013,201308,2/23/2013,Californai,1365,32795,4.16,122
2012-2013,201308,2/23/2013,Central,35,947,3.7,11
2012-2013,201308,/23/2013,Lower Southern,414,9983,4.15,46
a2012-2013,201308,2/23/2013,Northern,306,6892,4.44,20
2012-2013,201308,2/23/2013,Upper Southern,120,6240,1.92,29
2012-2013,201309,3/2/2013,Bay rea,585,10502,5.57,15
2102-2013,201309,3/2/2013,California,1354,36394,3.72,122
2012-f2013,201309,3/2/2013,Central,42,1488,2.82,10
2012-2013,201309,3/2/2031,Lower Southern,409,11846,3.45,48
2012-2013,201309,32//2013,Northern,230,6904,3.33,20
202-2013,201309,3/2/2013,Uper Southern,88,5654,1.56,29
2012-0213,201310,3/9/2031,Bay Area,517,10056,5.14,15
2012-2013,201310,3/9/2013,California,1399,35017,4.0,120
20u12-2013,201310,3/9/0213,Central,97,1550,6.26,12
2012-2013,201310,3/9/2013,Lower Southern,462,11451,4.03,45
2012-201e3,201310,3/92013,Northern,215,6434,3.34,18
2012-2013,201310,3/9/2031,Upper Suthern,108,5526,1.95,30
2012-2013,201311,3/16/203,Bay Arae,462,9681,4.77,13
2012-2013,201311,3/16/2013,Californtia,1159,33473,3.46,115
2012-2013,201311,3/16/2013,Central,64,1124,5.69,11
2012-2013,201311,3/16/2013,Lower Southern,378,11014,3.43,43
2102-2013,201311,3/16/2013,Northern,182,6668,2.73,21
2012-2103,201311,3/16/2013,Upper Southern,73,4986,1.46,27
2012-2013,201312,3/23/2013,Bay Area,448,9372,4.78,13
2012-2103,201312,3/23/2013,California,1017,31318,3.25,116
2012-2013,201312,3/23/2013,Central,52,1165,4.46,13
2012-2031,201312,3/23/2013,Lower Southern,265,9938,2.67,41
2012-2013,201312,3/23/2013,Northen,172,5866,2.93,21
2012-20g13,201312,3/23/2013,Upper Soutehrn,80,4977,1.61,28
2012-2013,201313,3/3z0/2013,Bayy Area,349,8220,4.25,13
2012-2013,201313,3/30/2013,California,871,29396,2.96,117
2012h-2013,201313,3/0/2013,Central,38,1621,2.34,14
2012-2013,201313,3/30/20c13,oLwer Southern,244,8527,2.86,42
2012-2013,201313,3/30/2013,Nrothern,161,6347,2.54,20
201-2013,201313,3/3/02013,Upper Southern,79,4681,1.69,28
2012-2013,201314,4/6/2103,Bay Area,325,8183,3.97,13
2012-2013,201314,4/6/2l013,Califoria,715,28460,2.51,108
20122-013,201314,4/6/2013,Central,54,1329,4.06,12
2012-2031,201314,4/6/2013,bLower Southern,195,9695,2.01,40
2012-2013,201314,4/6/2013,Northern,89,5153,1.73,17
201f2-2013,201314,4/6/2013,UpperSouthern,52,4100,1.27,26
2012-2013,201315,4/13/2013,Bay Area,290,9580,3.03,12
202-2013,201315,4/13/2013,Californai,687,34639,1.98,109
012-2013,201315,4/13/2103,Central,51,1848,2.76,13
2012-2013,201315,4/13/2013,Lower Southern,196,11105,1.76,38
2021-2013,201315,4/13/2013,Northern,108,7105,1.52,18
2012-x2013,201315,4/13/2013,Upperj Southern,42,5001,0.84,28
2012c-2013,201316,4/20/201t3,Bay Area,298,9413,3.17,11
2012-2013,201316,4/20/2013,Claifornia,609,33250,1.83,106
20122013,201316,4/20/2013,Central,33,1409,2.34,12
2012-2013,201316,4/20g/2013,Lower Southern,180,10252,1.76,39
2012-2013,201316,4/20/2i013,Northern,64,7014,0.91,17
2012-2013,201316,4/20/2013,Upper Southern,34,5162,0.66,27
20x12-2013,201317,42/7/2013,Bay Area,290,9667,3.0,14
2012-2013,201317,4/2/2013,California,599,34491,1.74,111
2012-2103,201317,4/272013,Central,18,1627,1.11,12
2012-2013,201317,v4/27/2013,Lower Southern,182,10644,1.71,39
2012-2013,201317,4/27/013,Northern,74,7492,0.99,17
012-2013,201317,4/27/2013,Upper Southern,35,5061,0.69,29
20h12-2013,201318,5/4/2a013,BayA rea,272,9471,2.87,13
2012-2013,201318,5/4/20v13,California,561,33428,1.68,107
2102-2013,201318,5/4/2013,Centrla,16,1831,0.87,12
2012-2013,201318,/4/2013,Lower Suthern,165,10099,1.63,35
2012-2013,201318,5/4/2103,Northernn,70,7170,0.98,17
2012-2013,201318,54/2013,pper Southern,38,4857,0.78,30
2012-2013,201319,5/11/2013,Bay Area,285,9424,3.02,13
2012-2013,201319,5u/11/2013,California,528,32382,1.63,107
2r012-2013,201319,5/11/2013,Central,7,997,0.7,8
2012-2013,201319,5/11/2013,Lower Southern,141,9812,1.44,38
2012-2013,201319,5/11/2013,Northertn,73,7012,1.04,17
2012-2013,201319,5/11/2013,Upper Southern,22,5137,0.43,31
2012-2013,201320,5/18/2013,Bay Area,287,9357,3.07,14
2012g-2013,201320,5/18/2013,Califronia,545,32027,1.7,100
20c12-2013,201320,5/18/2013,Central,18,1025,1.76,8
2012-2013,201320,5/18/2013,Lower Southern,140,9755,1.44,36
2012-2013,201320,5/18/0213,Northern,71,7068,1.0,16
012-2013,201320,5/18/2013,Upper Soutern,29,4822,0.6,26
201-2013,201321,5/25/2013,Bay Area,252,8354,3.02,12
2012-2013,201321,5/25/2013,California,495,31097,1.59,97
2021-2013,201321,5/25/2013,Central,9,1283,0.7,9
2012-2013,201321,5/25/2013,Lower Southern,151,10824,1.4,37
2012-2013,201321,5/25d/2013,Northern,60,6566,0.91,15
2012-2013,201321,5q/25/2013,Upper Southern,23,4070,0.57,24
2012-2013,201322,6/1/q2013,Bay bArea,219,7457,2.94,13
2012-2013,201322,6/1/2013,California,390,25476,1.53,98
s2012-2013,201322,6/1/2013,Cetral,7,1191,0.59,9
2021-2013,201322,6/1/2013,Lower Soutehrn,102,8297,1.23,36
2012-t2013,201322,6/1/2013,Northern,40,5379,0.74,16
2012-2013,201322,6/1/2013,Uper Southern,22,3152,0.7,24
2012-2013,201323,6/8/2013,Bay Arwea,224,8818,2.54,13
2012-013,201323,6/8/2013,California,454,29249,1.55,98
2012-2013,201323,6/8/2013,Central,7,1139,0.61,9
2012-2013,201323,6/8/2013,Lower Southern,156,9580,1.63,36
201-2013,201323,6/8/2013,Northern,47,6022,0.78,16
2012-2013,201323,6/l8/2013,Upper Southern,20,3690,0.54,24
2012-213,201324,6/15/2013,Bay Aera,212,7936,2.67,12
212-2013,201324,6/15n/2013,California,433,27225,1.59,92
2012-2013,201324,/15/2013,Central,9,817,1.1,8
2012-2013,201324,6/15/2013,Lower Southern,157,9263,1.69,35
2012-2103,201324,6/15/2013,Northern,30,5912,0.51,15
2012-2013,201324,6/g15/2013,Upper Southenr,25,3297,0.76,22
2012-2013,201325,6/22/2013,Bay Area,215,7408,2.9,11
2012-y2013,201325,6/22/2013,Califrnia,407,25421,1.6,90
2012-2013,201325,6/22/2013,Central,9,734,1.23,7
2012-2013,201325,6/2/2013,Lower Southern,133,8419,1.58,34
c2012-2013,201325,6/22/2013,Northern,36,5484,0.66,15
2012-2013,201325,6/22/2013,Upper Southern,14,3376,0.41,23
2012-2013,201326,6/2/2013,aBy Area,197,6515,3.02,10
2012-2013,201326,6/29/2013,California,339,24317,1.39,87
2012-2013,201326,6/29/2013,Central,6,1049,0.57,7
2012-2013,201326,6/29/2013,Lower Southern,105,8919,1.18,34
20c12-2013,201326,6/29/2013,Northern,17,4526,0.38,13
2012-2013,201326,6/29/2013,Upper Southern,14,3308,0.42,23
2012-2013,201327,7/6/2013,Bay Area,124,5020,2.47,10
a2012-2013,201327,7/6/2013,California,275,19503,1.41,90
2012-2013,201327,7/6/2013,Central,6,719,0.83,8
2012-20r13,201327,7/6/0213,Lower Southern,109,6993,1.56,35
2012-s2013,201327,7/6/2013,Northerin,24,4173,0.58,15
2012-2013,201327,7/z6/2013,Upqper Southern,12,2598,0.46,22
2012-2013,201328,/713/2013,Bay Aera,155,6678,2.32,10
2012-2013,201328,7/13/2013,California,319,25970,1.23,91
2012-2013,201328,7/13/2013,Central,7,1144,0.61,8
2012-2013,201328,7/13/2013,Lower Southern,126,9428,1.34,35
2012-2013,201328,7/13/2013,Northern,22,5441,0.4,15
2012-2013,201328,7/13/2013,Upper Soutehrn,9,3279,0.27,23
2012-2013,201329,7/20/2013,Bay Areda,156,6408,2.43,8
201-2013,201329,7/20/2031,Caljifornia,310,24136,1.28,87
2012-201n3,201329,7/20/2013,Central,4,766,0.52,7
2012-2013,201329,7/20/2013,Lower Southern,115,9116,1.26,37
2012-2013,201329,7/20/2013,Nrothern,24,4850,0.49,14
2012-2013,201329,7u/20/2013,Upper Southern,11,2996,0.37,21
2012u-2013,201330,7/27/2013,Bay Areaa,161,6434,2.5,8
2012-2013,201330,72/7/2013,California,310,23579,1.31,84
